Start Time:  2/11/2025 4:19:01 PM         Time Completed:  2/11/2025 4:50:11 PM     Elapsed Time:  00:31:09
Sample ID:     aij-a

Experiment:    C:\IDEASVSM\students\Experiments\loop to 10000 (20min)\loop to 10000 (20min).exp
Data File:     C:\IDEASVSM\students\aij-a-2-11-0.txt
Plot File:     C:\IDEASVSM\students\aij-a-2-11-0.oc2
VSM Exp File:  C:\IDEASVSM\students\Experiments\loop to 10000 (20min)\loop to 10000 (20min).stp
VSM Data File: C:\IDEASVSM\students\aij-a-2-11-0.dat

***DATA***

Field(G)	 Moment(emu)	
 10000 	 8.4405 	
 9446.5 	 8.4341 	
 8801.7 	 8.4154 	
 8167.7 	 8.3885 	
 7544.5 	 8.3365 	
 6925.9 	 8.1311 	
 6308.7 	 7.6489 	
 5692.3 	 7.04 	
 5076.6 	 6.3541 	
 4460.8 	 5.6017 	
 3845.4 	 4.8306 	
 3229.8 	 4.0585 	
 2614.4 	 3.2865 	
 1998.8 	 2.5167 	
 1849.2 	 2.3278 	
 1699.3 	 2.1397 	
 1549.3 	 1.9519 	
 1399.3 	 1.7639 	
 1249.4 	 1.5762 	
 1099.3 	 1.3885 	
 949.41 	 1.2007 	
 799.39 	 1.013 	
 649.37 	 0.82554 	
 499.47 	 0.63779 	
 349.43 	 0.45028 	
 199.38 	 0.26283 	
 179.86 	 0.23835 	
 159.89 	 0.21336 	
 139.87 	 0.18832 	
 119.91 	 0.16334 	
 99.961 	 0.1384 	
 79.875 	 0.11345 	
 59.882 	 0.088456 	
 39.986 	 0.063351 	
 19.939 	 0.038456 	
-0.11544 	 0.013483 	
-20.065 	-0.011455 	
-40.029 	-0.036417 	
-60.092 	-0.061296 	
-80.019 	-0.086395 	
-100.07 	-0.11127 	
-120.04 	-0.13631 	
-140.04 	-0.16108 	
-160.05 	-0.18608 	
-180.07 	-0.21103 	
-200.08 	-0.236 	
-350.39 	-0.42342 	
-500.49 	-0.6105 	
-650.5 	-0.79765 	
-800.56 	-0.98462 	
-950.58 	-1.1716 	
-1100.6 	-1.3582 	
-1250.6 	-1.5449 	
-1400.6 	-1.7317 	
-1550.5 	-1.9185 	
-1700.6 	-2.1051 	
-1850.5 	-2.2918 	
-2000.5 	-2.4781 	
-2616.5 	-3.2431 	
-3232.1 	-4.0079 	
-3847.4 	-4.7702 	
-4462.6 	-5.5285 	
-5077.4 	-6.2683 	
-5692.4 	-6.9515 	
-6306.9 	-7.5579 	
-6921.1 	-8.0441 	
-7534.3 	-8.2609 	
-8145.3 	-8.3179 	
-8752.4 	-8.3479 	
-9352 	-8.3712 	
-9945.4 	-8.3905 	
-9444.5 	-8.3825 	
-8801.2 	-8.3637 	
-8166.8 	-8.3364 	
-7544.2 	-8.2833 	
-6925.4 	-8.0725 	
-6308.5 	-7.5889 	
-5692.4 	-6.9823 	
-5076.5 	-6.2992 	
-4460.9 	-5.5512 	
-3845.3 	-4.7855 	
-3229.8 	-4.0181 	
-2614.2 	-3.2503 	
-1998.7 	-2.4837 	
-1849.2 	-2.2959 	
-1699.2 	-2.1089 	
-1549.2 	-1.9221 	
-1399.3 	-1.7352 	
-1249.3 	-1.5485 	
-1099.2 	-1.3617 	
-949.3 	-1.1749 	
-799.27 	-0.98821 	
-649.33 	-0.80152 	
-499.31 	-0.61482 	
-349.31 	-0.42815 	
-199.26 	-0.24167 	
-179.71 	-0.21724 	
-159.77 	-0.19256 	
-139.78 	-0.16763 	
-119.78 	-0.14282 	
-99.814 	-0.11785 	
-79.815 	-0.092975 	
-59.791 	-0.068177 	
-39.817 	-0.043358 	
-19.788 	-0.018535 	
 0.20208 	 0.0062014 	
 20.196 	 0.031282 	
 40.21 	 0.056081 	
 60.171 	 0.080896 	
 80.14 	 0.10583 	
 100.17 	 0.13057 	
 120.18 	 0.15542 	
 140.15 	 0.18035 	
 160.21 	 0.20501 	
 180.17 	 0.22979 	
 200.13 	 0.25473 	
 350.51 	 0.44145 	
 500.57 	 0.62786 	
 650.61 	 0.81409 	
 800.58 	 1.0002 	
 950.6 	 1.1862 	
 1100.6 	 1.3723 	
 1250.6 	 1.5583 	
 1400.6 	 1.7443 	
 1550.7 	 1.9304 	
 1700.6 	 2.1161 	
 1850.6 	 2.3018 	
 2000.6 	 2.4876 	
 2616.7 	 3.2487 	
 3232.4 	 4.0106 	
 3847.6 	 4.7702 	
 4462.9 	 5.5264 	
 5077.7 	 6.2638 	
 5692.8 	 6.9413 	
 6307.2 	 7.5432 	
 6921.5 	 8.0222 	
 7534.7 	 8.2302 	
 8145.5 	 8.2847 	
 8752.2 	 8.3143 	
 9351.6 	 8.3371 	
 9942.5 	 8.3559 	

	
	
