Start Time:  2/13/2025 4:17:26 PM         Time Completed:  2/13/2025 4:42:40 PM     Elapsed Time:  00:25:13
Sample ID:     aij-b

Experiment:    C:\IDEASVSM\students\Experiments\Loop to 10000 (25 min)\Loop to 10000 (25 min).exp
Data File:     C:\IDEASVSM\students\aij-b-2-13-1.txt
Plot File:     C:\IDEASVSM\students\aij-b-2-13-1.oc2
VSM Exp File:  C:\IDEASVSM\students\Experiments\Loop to 10000 (25 min)\Loop to 10000 (25 min).stp
VSM Data File: C:\IDEASVSM\students\aij-b-2-13-1.dat

***DATA***

Field(G)	 Moment(emu)	
 9739.7 	 4.2111 	
 9341.7 	 4.1331 	
 8920.9 	 4.0434 	
 8503.3 	 3.9483 	
 8089.2 	 3.8475 	
 7678.7 	 3.7412 	
 7270.5 	 3.629 	
 6864.6 	 3.5104 	
 6459.9 	 3.3852 	
 6055.8 	 3.253 	
 5651.5 	 3.1135 	
 5247 	 2.9661 	
 4843.2 	 2.8101 	
 4440.2 	 2.6458 	
 4037.1 	 2.4724 	
 3632.9 	 2.2895 	
 3228.7 	 2.0966 	
 2824.4 	 1.8933 	
 2419.9 	 1.6786 	
 2014.3 	 1.4514 	
 1610.3 	 1.2104 	
 1206.2 	 0.95295 	
 802.24 	 0.67471 	
 399.03 	 0.3699 	
 200.47 	 0.2046 	
 192.93 	 0.19826 	
 173.22 	 0.18154 	
 153.12 	 0.16466 	
 133.12 	 0.14767 	
 113.18 	 0.13067 	
 93.123 	 0.11367 	
 73.16 	 0.096737 	
 53.126 	 0.079727 	
 33.183 	 0.062712 	
 13.081 	 0.045646 	
-6.8726 	 0.028685 	
-26.891 	 0.011683 	
-46.907 	-0.0052555 	
-66.871 	-0.022192 	
-86.895 	-0.039161 	
-106.9 	-0.056112 	
-126.89 	-0.073016 	
-146.87 	-0.089854 	
-166.89 	-0.10667 	
-186.83 	-0.12353 	
-351.5 	-0.25635 	
-753.81 	-0.57693 	
-1161.8 	-0.87586 	
-1569.8 	-1.1477 	
-1977.8 	-1.3979 	
-2385.7 	-1.631 	
-2793.5 	-1.8499 	
-3201.5 	-2.0566 	
-3609.4 	-2.2518 	
-4016.9 	-2.4366 	
-4424.2 	-2.6114 	
-4831 	-2.777 	
-5238.1 	-2.9338 	
-5644.9 	-3.0821 	
-6051.4 	-3.2229 	
-6457.1 	-3.3558 	
-6862.2 	-3.4818 	
-7266.6 	-3.6003 	
-7670 	-3.712 	
-8070.7 	-3.8169 	
-8469.5 	-3.9159 	
-8866.3 	-4.0084 	
-9261 	-4.0949 	
-9653.4 	-4.1758 	
-9760.1 	-4.2 	
-9381 	-4.1276 	
-8957.2 	-4.0386 	
-8535.8 	-3.9432 	
-8118.4 	-3.8422 	
-7703.1 	-3.7355 	
-7290.9 	-3.6228 	
-6880.9 	-3.5039 	
-6472.2 	-3.3783 	
-6064.2 	-3.2458 	
-5656.3 	-3.1057 	
-5248.4 	-2.9571 	
-4840.6 	-2.8003 	
-4432.8 	-2.6347 	
-4025.1 	-2.4597 	
-3616.7 	-2.2751 	
-3208 	-2.0803 	
-2800.1 	-1.8748 	
-2391.7 	-1.6577 	
-1983.4 	-1.4278 	
-1575.2 	-1.1837 	
-1167.1 	-0.92246 	
-758.95 	-0.63971 	
-355.93 	-0.33185 	
-193.08 	-0.19542 	
-173.76 	-0.17925 	
-153.78 	-0.16231 	
-133.71 	-0.14545 	
-113.77 	-0.12855 	
-93.733 	-0.11161 	
-73.758 	-0.094599 	
-53.772 	-0.077547 	
-33.725 	-0.060642 	
-13.769 	-0.043677 	
 6.2766 	-0.026755 	
 26.249 	-0.0097216 	
 46.267 	 0.0071881 	
 66.275 	 0.024185 	
 86.27 	 0.041105 	
 106.29 	 0.057936 	
 126.24 	 0.074843 	
 146.3 	 0.091779 	
 166.24 	 0.1085 	
 186.29 	 0.12538 	
 347.05 	 0.25508 	
 733.89 	 0.56337 	
 1125.5 	 0.85162 	
 1517.3 	 1.1147 	
 1909 	 1.3571 	
 2301.9 	 1.5834 	
 2693.7 	 1.7959 	
 3085.4 	 1.9969 	
 3477 	 2.1874 	
 3868.4 	 2.3678 	
 4259.3 	 2.5392 	
 4649.4 	 2.7017 	
 5039.9 	 2.8559 	
 5431.2 	 3.0023 	
 5822.3 	 3.1411 	
 6212.6 	 3.2732 	
 6602.3 	 3.3984 	
 6990.9 	 3.5166 	
 7378.8 	 3.6283 	
 7765.8 	 3.7337 	
 8151 	 3.8331 	
 8534.7 	 3.9268 	
 8916.4 	 4.0149 	
 9296.4 	 4.0981 	

Coercivity (Hci)	39.227 G
Magnetization (Ms)	4.2056 emu
	
