Start Time:  2/18/2025 3:20:15 PM         Time Completed:  2/18/2025 3:45:10 PM     Elapsed Time:  00:24:54
Sample ID:     aij-floppy

Experiment:    C:\IDEASVSM\students\Experiments\Loop to 10000 (25 min)\Loop to 10000 (25 min).exp
Data File:     C:\IDEASVSM\students\aij-floppy-2-18-0.txt
Plot File:     C:\IDEASVSM\students\aij-floppy-2-18-0.oc2
VSM Exp File:  C:\IDEASVSM\students\Experiments\Loop to 10000 (25 min)\Loop to 10000 (25 min).stp
VSM Data File: C:\IDEASVSM\students\aij-floppy-2-18-0.dat

***DATA***

Field(G)	 Moment(emu)	
 9796.1 	 0.0035159 	
 9392.7 	 0.0034767 	
 8971.6 	 0.0033554 	
 8554 	 0.0033156 	
 8139.6 	 0.0032082 	
 7728.7 	 0.0032531 	
 7320.5 	 0.0031625 	
 6914.2 	 0.0031101 	
 6509.5 	 0.0030773 	
 6105.3 	 0.0029964 	
 5701.1 	 0.0029578 	
 5296.7 	 0.002896 	
 4892.7 	 0.0027921 	
 4489.7 	 0.0026979 	
 4086.5 	 0.0026583 	
 3682.7 	 0.0025767 	
 3278.3 	 0.0025711 	
 2874 	 0.0024329 	
 2469.6 	 0.0023966 	
 2064.1 	 0.0023176 	
 1659.7 	 0.0021528 	
 1255.8 	 0.0019589 	
 851.9 	 0.0018488 	
 447.75 	 0.0016696 	
 203.7 	 0.0014856 	
 193 	 0.0014872 	
 173.22 	 0.0014415 	
 153.19 	 0.0014252 	
 133.19 	 0.0014651 	
 113.2 	 0.0014522 	
 93.152 	 0.0014561 	
 73.208 	 0.0014197 	
 53.194 	 0.0014181 	
 33.148 	 0.0014447 	
 13.167 	 0.0014667 	
-6.8433 	 0.0014203 	
-26.858 	 0.0014097 	
-46.844 	 0.0013772 	
-66.847 	 0.0013655 	
-85.87 	 0.0013538 	
-105.04 	 0.001325 	
-125.05 	 0.0013164 	
-145.03 	 0.0013231 	
-165.01 	 0.0013102 	
-185.05 	 0.0012799 	
-339.32 	 0.0012112 	
-739.82 	 0.00053879 	
-1148 	-0.001151 	
-1555.9 	-0.0022623 	
-1963.9 	-0.0026937 	
-2371.9 	-0.0028649 	
-2779.8 	-0.0030684 	
-3187.8 	-0.0031587 	
-3595.4 	-0.0032477 	
-4003.1 	-0.0032844 	
-4410.1 	-0.0033541 	
-4817.4 	-0.0033889 	
-5224.3 	-0.0034403 	
-5631 	-0.0034687 	
-6037.6 	-0.0035323 	
-6443.2 	-0.0036143 	
-6848.6 	-0.0036701 	
-7253.2 	-0.0037637 	
-7656 	-0.0038362 	
-8057.1 	-0.0039012 	
-8456.2 	-0.003964 	
-8852.9 	-0.0040394 	
-9247.8 	-0.0040682 	
-9640.5 	-0.0041384 	
-9760.1 	-0.0041482 	
-9382.6 	-0.0041417 	
-8958.9 	-0.0040376 	
-8537.5 	-0.0039934 	
-8120.1 	-0.0039784 	
-7705 	-0.0038729 	
-7292.9 	-0.0037782 	
-6882.7 	-0.0037062 	
-6474 	-0.0036681 	
-6066.2 	-0.0036217 	
-5658.2 	-0.0035073 	
-5250.2 	-0.0034593 	
-4842.4 	-0.0034001 	
-4434.6 	-0.003333 	
-4026.9 	-0.0032681 	
-3618.2 	-0.0032411 	
-3210.2 	-0.0031174 	
-2802 	-0.0030249 	
-2393.5 	-0.0029132 	
-1985.4 	-0.0028142 	
-1577 	-0.0026687 	
-1168.9 	-0.0025566 	
-760.83 	-0.0023348 	
-357.53 	-0.0021549 	
-193.18 	-0.0020352 	
-173.92 	-0.0020116 	
-153.93 	-0.0019881 	
-133.9 	-0.002005 	
-113.9 	-0.0020013 	
-93.909 	-0.0020013 	
-73.938 	-0.001969 	
-53.924 	-0.002007 	
-33.919 	-0.0019365 	
-13.902 	-0.0018755 	
 6.1002 	-0.001904 	
 26.063 	-0.0019187 	
 46.118 	-0.0018571 	
 66.091 	-0.001881 	
 86.116 	-0.0018189 	
 106.1 	-0.0018053 	
 126.06 	-0.0017953 	
 146.1 	-0.0017726 	
 166.11 	-0.0017581 	
 186.09 	-0.0017549 	
 344.36 	-0.0016893 	
 730.69 	-0.001078 	
 1122.6 	 0.00064302 	
 1514.4 	 0.0017918 	
 1906.4 	 0.0021675 	
 2298.5 	 0.002381 	
 2690.7 	 0.0024773 	
 3082.4 	 0.0026127 	
 3474 	 0.0027043 	
 3865.5 	 0.002746 	
 4256.2 	 0.0028673 	
 4646.5 	 0.0029197 	
 5037 	 0.0029859 	
 5428.1 	 0.0030291 	
 5819.3 	 0.0031193 	
 6210 	 0.0031527 	
 6599.1 	 0.0031803 	
 6987.9 	 0.0032642 	
 7375.9 	 0.0033319 	
 7762.7 	 0.0034017 	
 8148.1 	 0.0034813 	
 8531.7 	 0.0035693 	
 8913.3 	 0.0036011 	
 9293.4 	 0.0036572 	

Coercivity (Hci)	923.07 G
Magnetization (Ms)	3.9027E-3 emu
	
